Date,Chat Name,Creator,Exchanges,Symbol,Status,Leverage,Direction,Last Target,Duration,Signal Gained Profit %,Entry Targets % Filled,Number of Filled Entry Targets,Filled Average Entry Price,Number of Entry Targets,Entry Zone Range,Average Entry Price,TP1 Price,TP2 Price,TP3 Price,TP4 Price,TP5 Price,TP6 Price,TP7 Price,TP8 Price,TP9 Price,TP10 Price,Stop Loss Price
2025-08-11 04:00:20,GG-Shot Cornix (All Signals),,"BingX Futures, Binance Futures, ByBit USDT",RLC/USDT,Buy,Cross (10.0X),Long,0,2 Days 10 Hours 0 Minutes,28.0024,0,0,1.0142,0,0.9798-1.0486,1.0142,1.0905,1.1325,1.1744,1.3003,,,,,,,0.9406
2025-08-10 17:34:13,GG-Shot Cornix (All Signals),,"KuCoin Futures, Bitget Futures, Binance Futures, ByBit USDT",IOTX/USDT,Sell(3/4),Cross (10.0X),Short,3,2 Days 20 Hours 26 Minutes,20.6272,0,0,0.029815,0,0.02957-0.03104,0.030305,0.02907,0.02856,0.02806,0.02655,,,,,,,0.03157
2025-08-10 04:00:30,GG-Shot Cornix (All Signals),,"Binance Futures, BingX Futures, KuCoin Futures, Bitget Futures, OKX Futures, ByBit USDT",MANA/USDT,Sell(1/4),Cross (10.0X),Long,1,3 Days 10 Hours 0 Minutes,53.4711,0,0,0.3025,0,0.29-0.315,0.3025,0.321,0.327,0.333,0.35,,,,,,,0.285
2025-08-10 01:00:17,GG-Shot Cornix (All Signals),,"Bitget Futures, KuCoin Futures, BingX Futures, OKX Futures, ByBit USDT, Binance Futures",API3/USDT,Stopped Out,Cross (10.0X),Long,0,1 Days 21 Hours 20 Minutes,-54.0451,0,0,0.75585,0,0.7275-0.7842,0.75585,,,,,,,,,,,0.715
2025-08-09 11:00:19,GG-Shot Cornix (All Signals),,"KuCoin Futures, Binance Futures, OKX Futures, ByBit USDT, Bitget Futures, BingX Futures, HyperLiquid Futures",MKR/USDT,Sell(1/4),Cross (10.0X),Long,1,4 Days 3 Hours 0 Minutes,-26.9271,0,0,2082.166666666667,0,1966.0-2105.4,2035.7,2144.9,2184.4,2223.8,2342.3,,,,,,,1929.2
2025-08-09 09:00:29,GG-Shot Cornix (All Signals),,"BingX Futures, Binance Futures, KuCoin Futures, Bitget Futures, ByBit USDT, OKX Futures",JTO/USDT,Sell(2/4),Cross (10.0X),Long,2,4 Days 5 Hours 0 Minutes,42.1193,0,0,1.878,0,1.751-1.878,1.8144999999999998,1.929,1.98,2.031,2.183,,,,,,,1.704
2025-08-09 09:00:15,GG-Shot Cornix (All Signals),,"KuCoin Futures, Bitget Futures, BingX Futures, Binance Futures, OKX Futures",TURBO/USDT,Stopped Out,Cross (10.0X),Long,0,3 Days 1 Hours 2 Minutes,-78.654,0,0,0.004933,0,0.004685-0.005181,0.004933,,,,,,,,,,,0.004545
2025-08-09 08:00:21,GG-Shot Cornix (All Signals),,"Bitget Futures, KuCoin Futures, ByBit USDT, Binance Futures",ALICE/USDT,Sell(1/4),Cross (10.0X),Long,1,4 Days 6 Hours 0 Minutes,15.2381,0,0,0.42,0,0.39-0.42,0.405,0.43,0.45,0.46,0.5,,,,,,,0.38
2025-08-09 07:00:21,GG-Shot Cornix (All Signals),,"OKX Futures, BingX Futures, ByBit USDT, Binance Futures, Bitget Futures",IOST/USDT,Partial Targets Achieved,Cross (10.0X),Long,1,2 Days 23 Hours 14 Minutes,-25.5286,0,0,0.003783333333333333,0,0.003668-0.003841,0.0037545,0.003893,,,,,,,,,,0.003618
2025-08-09 06:00:30,GG-Shot Cornix (All Signals),,"Bitget Futures, BingX Futures, OKX Futures, Binance Futures, ByBit USDT, KuCoin Futures",LPT/USDT,Sell(2/4),Cross (10.0X),Long,2,4 Days 8 Hours 0 Minutes,36.738,0,0,6.873,0,6.341-6.873,6.607,7.079,7.285,7.492,8.11,,,,,,,6.151
2025-08-09 01:58:15,GG-Shot Cornix (All Signals),,"ByBit USDT, KuCoin Futures, OKX Futures, BingX Futures, Binance Futures, Bitget Futures",ARKM/USDT,Sell(3/4),Cross (10.0X),Long,3,4 Days 12 Hours 2 Minutes,74.0741,0,0,0.5184,0,0.482-0.5184,0.5002,0.536,0.5537,0.5713,0.6242,,,,,,,0.4656
